fits_files,cluster,beam_name,beam_id,utc_start
/p/MFR/MEERKAT/TRAPUM/TRAPUM_ALL_OBS_BY_CLUSTER/NGC6717/NGC6717_01L-trapum/NGC6717_01L-trapum_cfbf00006sub.fil,NGC6717,cfbf00006,6,2024-11-28T15:22:52
/p/MFR/MEERKAT/TRAPUM/TRAPUM_ALL_OBS_BY_CLUSTER/NGC6717/NGC6717_01L-trapum/NGC6717_01L-trapum_cfbf00007sub.fil,NGC6717,cfbf00007,7,2024-11-28T15:22:52
/p/MFR/MEERKAT/TRAPUM/TRAPUM_ALL_OBS_BY_CLUSTER/NGC6717/NGC6717_01L-trapum/NGC6717_01L-trapum_cfbf00008sub.fil,NGC6717,cfbf00008,8,2024-11-28T15:22:52
/p/MFR/MEERKAT/TRAPUM/TRAPUM_ALL_OBS_BY_CLUSTER/NGC6717/NGC6717_01L-trapum/NGC6717_01L-trapum_cfbf00009sub.fil,NGC6717,cfbf00009,9,2024-11-28T15:22:52
/p/MFR/MEERKAT/TRAPUM/TRAPUM_ALL_OBS_BY_CLUSTER/NGC6717/NGC6717_01L-trapum/NGC6717_01L-trapum_cfbf00010sub.fil,NGC6717,cfbf00010,10,2024-11-28T15:22:52
/p/MFR/MEERKAT/TRAPUM/TRAPUM_ALL_OBS_BY_CLUSTER/NGC6717/NGC6717_01L-trapum/NGC6717_01L-trapum_cfbf00011sub.fil,NGC6717,cfbf00011,11,2024-11-28T15:22:52
/p/MFR/MEERKAT/TRAPUM/TRAPUM_ALL_OBS_BY_CLUSTER/NGC6717/NGC6717_01L-trapum/NGC6717_01L-trapum_cfbf00012sub.fil,NGC6717,cfbf00012,12,2024-11-28T15:22:52
/p/MFR/MEERKAT/TRAPUM/TRAPUM_ALL_OBS_BY_CLUSTER/NGC6717/NGC6717_01L-trapum/NGC6717_01L-trapum_cfbf00013sub.fil,NGC6717,cfbf00013,13,2024-11-28T15:22:52
/p/MFR/MEERKAT/TRAPUM/TRAPUM_ALL_OBS_BY_CLUSTER/NGC6717/NGC6717_01L-trapum/NGC6717_01L-trapum_cfbf00014sub.fil,NGC6717,cfbf00014,14,2024-11-28T15:22:52
/p/MFR/MEERKAT/TRAPUM/TRAPUM_ALL_OBS_BY_CLUSTER/NGC6717/NGC6717_01L-trapum/NGC6717_01L-trapum_cfbf00015sub.fil,NGC6717,cfbf00015,15,2024-11-28T15:22:52
