fits_files,cluster,beam_name,beam_id,utc_start
/p/MFR/MEERKAT/TRAPUM/TRAPUM_ALL_OBS_BY_CLUSTER/NGC6717/NGC6717_01L-trapum/NGC6717_01L-trapum_cfbf00026sub.fil,NGC6717,cfbf00026,26,2024-11-28T15:22:52
/p/MFR/MEERKAT/TRAPUM/TRAPUM_ALL_OBS_BY_CLUSTER/NGC6717/NGC6717_01L-trapum/NGC6717_01L-trapum_cfbf00027sub.fil,NGC6717,cfbf00027,27,2024-11-28T15:22:52
/p/MFR/MEERKAT/TRAPUM/TRAPUM_ALL_OBS_BY_CLUSTER/NGC6717/NGC6717_01L-trapum/NGC6717_01L-trapum_cfbf00028sub.fil,NGC6717,cfbf00028,28,2024-11-28T15:22:52
/p/MFR/MEERKAT/TRAPUM/TRAPUM_ALL_OBS_BY_CLUSTER/NGC6717/NGC6717_01L-trapum/NGC6717_01L-trapum_cfbf00029sub.fil,NGC6717,cfbf00029,29,2024-11-28T15:22:52
/p/MFR/MEERKAT/TRAPUM/TRAPUM_ALL_OBS_BY_CLUSTER/NGC6717/NGC6717_01L-trapum/NGC6717_01L-trapum_cfbf00030sub.fil,NGC6717,cfbf00030,30,2024-11-28T15:22:52
/p/MFR/MEERKAT/TRAPUM/TRAPUM_ALL_OBS_BY_CLUSTER/NGC6717/NGC6717_01L-trapum/NGC6717_01L-trapum_cfbf00031sub.fil,NGC6717,cfbf00031,31,2024-11-28T15:22:52
/p/MFR/MEERKAT/TRAPUM/TRAPUM_ALL_OBS_BY_CLUSTER/NGC6717/NGC6717_01L-trapum/NGC6717_01L-trapum_cfbf00032sub.fil,NGC6717,cfbf00032,32,2024-11-28T15:22:52
/p/MFR/MEERKAT/TRAPUM/TRAPUM_ALL_OBS_BY_CLUSTER/NGC6717/NGC6717_01L-trapum/NGC6717_01L-trapum_cfbf00033sub.fil,NGC6717,cfbf00033,33,2024-11-28T15:22:52
/p/MFR/MEERKAT/TRAPUM/TRAPUM_ALL_OBS_BY_CLUSTER/NGC6717/NGC6717_01L-trapum/NGC6717_01L-trapum_cfbf00034sub.fil,NGC6717,cfbf00034,34,2024-11-28T15:22:52
/p/MFR/MEERKAT/TRAPUM/TRAPUM_ALL_OBS_BY_CLUSTER/NGC6717/NGC6717_01L-trapum/NGC6717_01L-trapum_cfbf00035sub.fil,NGC6717,cfbf00035,35,2024-11-28T15:22:52
/p/MFR/MEERKAT/TRAPUM/TRAPUM_ALL_OBS_BY_CLUSTER/NGC6717/NGC6717_01L-trapum/NGC6717_01L-trapum_ifbf00000sub.fil,NGC6717,ifbf00000,0,2024-11-28T15:22:52
