Pulsar,Period,DM
J0514-4002A,0.00499058,52.1489
J0514-4002B,0.0028163,52.076
J0514-4002C,0.0055648,52.053
J0514-4002D,0.0045542,52.219
J0514-4002E,0.00559595,51.9306
J0514-4002F,0.0043294,51.620
J0514-4002G,0.0038028,50.959
J0514-4002H,0.0055061,52.226
J0514-4002I,0.0326542,52.58
J0514-4002J,0.0066329,52.017
J0514-4002K,0.0046920,51.928
J0514-4002L,0.0029588,51.245
J0514-4002M,0.0047978,51.678 
J0514-4002N,0.0055679,51.068
J0514-4002O,0.003076,52.05
